Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Subject_Introduced,Not defined,POINT,186.400,186.400,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,2797,2797,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Investigation,Not defined,STATE,189.467,189.932,0.465,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,2843,NA,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,189.933,191.333,1.400,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,2850,2871,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,192.067,204.933,12.866,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,2882,3075,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,208.667,217.400,8.733,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,3131,3262,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,222.467,236.333,13.866,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,3338,3546,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,259.000,266.933,7.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,3886,4005,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Approach,Not defined,STATE,271.267,272.400,1.133,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,4070,4087,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,432.200,438.133,5.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,6484,6573,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,488.267,491.533,3.266,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,7325,7374,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,496.067,496.933,0.866,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,7442,7455,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,499.267,504.867,5.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,7490,7574,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,615.000,620.133,5.133,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,9226,9303,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,624.000,632.933,8.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,9361,9495,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Approach,Not defined,STATE,638.867,639.533,0.666,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,9584,9594,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,643.467,648.800,5.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,9653,9733,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Defeat,Not defined,STATE,653.400,654.667,1.267,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,9802,9821,,,,
n1-240510-085449,2024-07-06 19:25:45,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,605.400,920.400,15.000,Subject,83.393,Subject_Removed,Not defined,POINT,791.800,791.800,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n1-240510-085449_Cam1.avi,11878,11878,,,,
