Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Subject_Introduced,Not defined,POINT,184.333,184.333,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,2766,2766,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,193.133,194.467,1.334,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,2898,2918,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Aggression,Not defined,STATE,194.467,199.400,4.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,2918,2992,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,208.800,210.267,1.467,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,3133,3155,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Aggression,Not defined,STATE,250.333,250.933,0.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,3756,3765,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,361.933,366.133,4.200,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,5430,5493,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,405.267,408.733,3.466,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,6080,6132,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,424.667,431.533,6.866,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,6371,6474,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,580.400,594.600,14.200,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,8706,8919,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,608.733,615.333,6.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,9131,9230,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,646.600,652.333,5.733,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,9699,9785,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,671.867,679.067,7.200,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,10078,10186,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,682.333,684.333,2.000,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,10235,10265,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,704.667,706.600,1.933,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,10570,10599,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Defeat,Not defined,STATE,763.000,770.133,7.133,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,11445,11552,,,,
p2-240510-094249,2024-07-06 21:51:33,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,605.600,922.733,15.000,Subject,67.665,Subject_Removed,Not defined,POINT,789.933,789.933,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p2-240510-094249_Cam1.avi,11849,11849,,,,
