Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Subject_Introduced,Not defined,POINT,184.667,184.667,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,2771,2771,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Defeat,Not defined,STATE,189.933,209.800,19.867,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,2850,3148,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Defeat,Not defined,STATE,215.800,217.133,1.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,3238,3258,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Defeat,Not defined,STATE,226.800,228.333,1.533,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,3403,3426,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Defeat,Not defined,STATE,246.267,250.267,4.000,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,3695,3755,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Defeat,Not defined,STATE,264.867,279.933,15.066,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,3974,4200,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Defeat,Not defined,STATE,288.467,290.067,1.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,4328,4352,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Approach,Not defined,STATE,353.733,354.732,0.999,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,5307,NA,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Investigation,Not defined,STATE,354.733,355.400,0.667,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,5322,5332,,,,
n4-240513-084931,2024-07-06 20:47:22,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,605.533,943.467,15.000,Subject,107.264,Defeat,Not defined,STATE,355.400,362.667,7.267,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_n4-240513-084931_Cam1.avi,5332,5441,,,,
