Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Subject_Introduced,Not defined,POINT,211.533,211.533,NA,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,3174,3174,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,219.933,249.867,29.934,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,3300,3749,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,280.200,306.067,25.867,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,4204,4592,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,310.467,318.533,8.066,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,4658,4779,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,358.867,367.600,8.733,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,5384,5515,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,445.933,454.867,8.934,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,6690,6824,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,518.600,525.933,7.333,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,7780,7890,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,557.067,563.467,6.400,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,8357,8453,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,571.333,588.133,16.800,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,8571,8823,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,593.933,604.133,10.200,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,8910,9063,,,,
p1-240510-082326,2024-07-06 21:04:28,,Media file,player #1:Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,609.200,952.200,15.000,Subject,154.934,Defeat,Not defined,STATE,614.733,621.333,6.600,Social Defeat Videos\5_10_24_Social_Defeat_P2-240510-080738_p1-240510-082326_Cam1.avi,9222,9321,,,,
