Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,s1_Introduced,Not defined,POINT,186.267,186.267,NA,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,2794,2794,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,197.267,225.733,28.466,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,2959,3386,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Approach,Not defined,STATE,237.533,238.466,0.933,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,3563,NA,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,238.467,247.200,8.733,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,3577,3708,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,249.067,253.133,4.066,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,3736,3797,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,255.733,256.133,0.400,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,3836,3842,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Approach,Not defined,STATE,260.067,261.066,0.999,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,3901,NA,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,261.067,268.133,7.066,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,3916,4022,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,283.400,286.867,3.467,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,4251,4303,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,292.200,293.000,0.800,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,4383,4395,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,Investigation,Not defined,STATE,298.800,298.867,0.067,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,4482,4483,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,s1_Removed,Not defined,POINT,309.533,309.533,NA,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,4643,4643,,,,
p1-240516-064158,2024-06-11 19:33:09.096,,Media file,player #1:p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,0.0,1287.733,1547.667,15.000,Subject,244.722,s1_Introduced,Not defined,POINT,380.667,380.667,NA,p1-240516-064158\5_7_24_Hab_DisHab_P2-240505-130502_p1-240516-064158_Cam1.avi,5710,5710,,,,
