Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,s1_Introduced,Not defined,POINT,181.867,181.867,NA,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,2728,2728,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,182.000,183.067,1.067,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,2730,2746,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,190.600,191.533,0.933,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,2859,2873,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,194.867,195.467,0.600,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,2923,2932,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,197.133,199.667,2.534,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,2957,2995,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,204.933,205.933,1.000,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,3074,3089,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Approach,Not defined,STATE,206.133,207.532,1.399,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,3092,NA,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,207.533,208.333,0.800,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,3113,3125,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,216.000,218.133,2.133,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,3240,3272,,,,
n1-240507-080133,2024-06-08 18:37:14.472,,Media file,player #1:n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,0.0,1259.333,1573.333,15.000,Subject,67.063,Investigation,Not defined,STATE,227.267,228.867,1.600,n1-240507-080133\5_7_24_Hab_DisHab_P2-240505-130502_n1-240507-080133_Cam1.avi,3409,3433,,,,
