Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,s1_Introduced,,POINT,182.000,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,1820,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,START,200.900,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2009,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,STOP,207.500,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2075,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Approach,,START,212.500,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2125,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Approach,,STOP,214.899,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,NA,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,START,214.900,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2149,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,STOP,228.100,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2281,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,START,229.300,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2293,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Investigation,,STOP,234.400,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2344,NA,
n8-240821-125247,2024-08-26 17:29:06.781,,1067.000,Media file(s),player #1:n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,0.0,1312.800,10.000,Subject,Approach,,START,241.800,n8-240821-125247\8_21_24_Hab_DisHab_P2C2-240821-081258_n8-240821-125247_Cam1.avi,2418,NA,
